city_name,country_code,latitude,longitude,temp,humidity,cloudiness,wind_speed
weihai,cn,37.82726,122.74315,75.5,71,82,6.6
sabha,ly,28.06012,13.4062,80.0,26,2,12.62
pueblo,us,38.06719,-104.9454,93.79,11,1,10.29
stornoway,gb,58.10817,-10.29011,56.06,89,100,33.93
finschhafen,pg,-4.94166,147.67424,80.72,77,100,15.64
ndjole,ga,-0.42708,10.6368,72.8,93,43,2.91
calawag,ph,10.72061,119.55858,82.34,77,35,4.18
timra,se,63.31538,16.44231,52.28,94,95,5.66
rantepao,id,-2.10283,118.76138,81.08,80,46,18.07
skelleftea,se,65.58253,19.75461,52.74,71,50,12.75
landau,de,48.58926,12.65835,63.99,93,0,1.28
seredka,ru,58.23039,27.97357,50.0,93,1,2.24
buxar,in,25.54962,83.91906,80.0,87,82,6.82
tshikapa,cd,-7.04981,18.9582,68.66,72,72,2.33
manggar,id,-3.57879,109.08299,80.54,80,100,15.66
chickasha,us,35.14339,-98.07984,87.39,46,75,11.41
usogorsk,ru,64.02892,48.42022,38.78,97,15,2.17
macaboboni,ph,16.30817,116.84133,83.6,83,98,12.53
hammerfest,no,76.10497,21.57194,36.44,85,13,8.95
bauchi,ng,10.48392,9.38886,66.32,95,94,2.95
ambon,id,-2.17295,127.16325,77.84,82,77,20.0
carsamba,tr,41.96852,36.72642,75.32,83,0,6.11
ust-nera,ru,63.04937,143.04058,51.56,78,100,4.72
acapulco,mx,4.77433,-105.04467,76.94,87,100,16.06
nuuk,gl,64.1871,-50.0692,38.06,51,16,5.08
carutapera,br,3.12029,-44.64012,81.26,74,88,19.91
denia,es,38.68606,0.80314,74.19,78,0,8.05
hualmay,pe,-15.43973,-86.2891,62.0,88,33,17.31
kollam,in,8.6451,76.23045,80.54,81,100,14.88
sirohi,in,24.79715,72.81972,79.64,80,5,9.48
charlestown,kn,15.7848,-63.45537,83.24,77,5,12.82
charters towers,au,-21.88549,143.18315,77.3,33,0,10.54
port moresby,pg,-11.53413,146.17278,75.5,80,69,19.51
karasuk,ru,53.27313,77.505,58.04,59,25,8.9
portland,au,-47.81158,137.19742,46.34,80,100,35.3
llata,pe,-9.51333,-76.85898,40.94,86,44,5.55
turtas,ru,59.28025,69.60284,52.1,95,97,5.39
chikoy,ru,49.5613,106.90419,50.84,86,92,1.52
tongliao,cn,43.84826,121.63952,70.64,79,96,1.7
gayny,ru,60.46312,54.64269,41.84,91,49,9.91
marly,fr,48.94418,6.22317,66.04,57,0,4.7
walvis bay,na,-24.76113,7.66119,63.26,82,0,22.06
anshun,cn,25.47897,105.73299,70.46,86,22,2.95
garoua,cm,9.10484,13.36206,75.2,88,20,6.93
dandong,cn,38.19999,124.53675,74.78,76,33,5.91
pangnirtung,ca,68.38161,-65.48392,38.78,83,3,12.21
ternate,id,1.00076,127.52361,79.46,76,100,2.82
vao,nc,-23.35385,167.76972,66.86,66,59,14.05
tuy hoa,vn,13.37531,112.97715,82.88,86,100,15.9
yumen,cn,38.95836,96.30008,50.66,53,86,4.94
potiskum,ng,11.38498,10.99581,71.9,85,85,6.51
raudeberg,no,68.15741,1.90327,50.48,86,100,21.56
luba,gq,3.71886,8.25926,77.0,88,40,4.7
lagoa,pt,42.63728,-27.16845,67.04,81,7,12.55
aswan,eg,22.02458,34.28779,87.92,16,0,6.64
miyako,jp,40.24356,142.67015,66.68,80,65,7.07
exeter,us,42.98856,-71.01001,60.8,67,20,9.17
yaan,cn,30.16196,101.75672,43.28,92,19,1.79
oranjemund,na,-32.63931,9.67927,56.6,59,98,12.82
andros town,bs,24.92229,-78.09453,86.0,74,75,9.17
neiafu,to,-17.55862,-172.9616,75.68,84,100,21.63
brae,gb,62.76179,0.60841,55.88,93,100,20.92
mezotur,hu,47.12424,20.61008,71.74,88,0,4.7
pacific grove,us,30.93741,-131.68675,71.0,75,10,13.53
valkla,ee,59.4359,25.2584,56.25,82,0,4.7
yichang,cn,30.57633,110.6577,69.74,78,56,2.13
claremore,us,36.30623,-95.61445,84.16,65,40,5.75
takoradi,gh,-3.49228,0.16366,72.44,86,64,12.06
nizhniy ingash,ru,55.85598,96.58585,53.18,95,30,5.75
tumannyy,ru,74.00242,36.03054,40.94,87,97,13.02
lingdong,cn,46.08618,131.26887,66.32,84,2,1.72
onega,ru,65.87468,38.10691,49.94,95,100,17.22
adiake,ci,4.82382,-2.97423,75.5,91,100,14.34
praya,id,-10.5874,117.1257,76.4,69,61,8.57
lompoc,us,25.51426,-128.02779,66.5,75,86,4.36
hollins,us,37.98142,-80.13395,67.59,56,90,6.93
goderich,sl,3.86141,-20.79327,77.3,82,16,13.91
enkhuizen,nl,52.66332,5.21184,66.34,100,1,4.7
evensk,ru,63.07948,160.74576,51.56,73,100,8.39
maralal,ke,1.71837,36.85266,72.44,56,4,9.6
matagami,ca,50.63621,-78.60219,68.84,58,0,6.64
kisangani,cd,0.00563,26.15677,67.58,99,98,1.45
benton harbor,us,42.57746,-86.60805,74.03,41,1,9.17
orizona,br,-16.83267,-48.15294,70.64,35,25,8.21
katangli,ru,50.54767,145.79749,49.58,93,98,6.82
newcastle,au,-33.64438,152.0782,60.2,79,95,13.69
kinablangan,ph,8.38785,129.62988,82.34,78,100,17.92
burica,pa,5.38695,-86.62139,79.64,85,100,14.18
santa isabel do rio negro,br,1.76125,-65.62293,75.68,89,74,1.83
vestbygda,no,56.94964,6.235,64.52,79,0,5.59
kangaatsiaq,gl,68.55864,-55.21303,44.9,74,0,10.8
tambopata,pe,-13.18189,-68.90378,82.88,44,83,2.57
kiruna,se,68.05052,20.18305,51.8,76,76,9.17
ormara,pk,26.50779,64.49557,77.3,69,56,2.44
sovetskiy,ru,69.48509,65.62413,40.4,74,100,10.49
bargal,so,10.45543,57.13876,80.0,84,43,25.77
sakakah,sa,28.56806,38.77645,81.08,28,54,9.44
polewali,id,-2.89987,119.28076,70.82,91,58,2.86
nadadores,mx,26.88056,-102.0426,100.0,28,22,1.99
gazanjyk,tm,40.81821,56.44441,70.82,31,0,5.08
axim,gh,1.73456,-2.6044,75.86,80,98,12.12
tessalit,ml,20.83385,2.00362,80.18,60,100,5.99
sabzevar,ir,35.24021,56.80812,64.88,17,0,4.32
saurimo,ao,-9.85676,20.03312,62.9,31,62,3.2
shaunavon,ca,48.07173,-107.55808,73.4,40,20,21.92
shache,cn,39.46556,77.74374,72.57,49,0,1.99
shaowu,cn,26.78344,116.84268,82.7,67,74,3.13
